year|month|branch_id|salary_per_hour
2019|8|1|181167.90098027283
2019|8|2|214276.50266357596
2019|8|3|928571.4285714285
2019|9|1|173905.38543731908
2019|9|2|121069.41420698458
2019|9|3|332098.10633420217
2019|9|2590|286183.59616314765
2019|9|2623|277475.5887547512
2019|9|2625|393763.945806414
2019|9|2626|264300.85836026433
2019|9|2629|319981.0381607016
2019|9|2630|364139.34662151383
2019|9|2631|263622.48496030533
2019|9|2633|285499.2917847025
2019|9|2634|334466.80416968616
2019|9|2635|585553.0498933103
2019|9|3092|129249.43417469927
2019|9|12722|265137.5664159083
2019|10|1|55809.066883601765
2019|10|2|71784.94993545592
2019|10|3|61258.26536153959
2019|10|2590|50985.4282008116
2019|10|2623|47307.452316159295
2019|10|2625|58443.35053564052
2019|10|2626|58112.86642342561
2019|10|2629|67644.91533145751
2019|10|2630|62258.34118358337
2019|10|2631|46347.16602192982
2019|10|2633|59775.16917984464
2019|10|2634|53230.97214541519
2019|10|2635|53287.94658761452
2019|10|3092|63100.08123598894
2019|10|12722|42092.04126356299
2019|11|1|55865.72853752862
2019|11|2|53918.065823395475
2019|11|3|81667.65863044723
2019|11|2590|57668.98043828811
2019|11|2623|51134.81954798738
2019|11|2625|64631.90534059019
2019|11|2626|53570.35186367621
2019|11|2629|57953.395888575185
2019|11|2630|67295.4055536035
2019|11|2631|50426.89288122092
2019|11|2633|62116.79116251988
2019|11|2634|59494.200141794514
2019|11|2635|57478.91627887341
2019|11|3092|46492.40624031408
2019|11|12722|40986.139528529275
2019|12|1|60063.577745279035
2019|12|2|70121.26673453258
2019|12|3|70790.78020878561
2019|12|2590|57745.16717593086
2019|12|2623|54866.11799202927
2019|12|2625|66282.63652688805
2019|12|2626|54981.45466806831
2019|12|2629|64479.955144379026
2019|12|2630|64782.796217433766
2019|12|2631|50378.64602521306
2019|12|2633|64130.84745067055
2019|12|2634|55031.398470127126
2019|12|2635|61503.45632099606
2019|12|3092|45158.20546039316
2019|12|12722|38076.9335376191
2020|1|1|52448.74703101834
2020|1|2|65086.63468794099
2020|1|3|70347.69583157073
2020|1|2590|55101.539523736814
2020|1|2623|51066.640838995976
2020|1|2625|62149.28334587188
2020|1|2626|44417.23332782386
2020|1|2629|54549.926505466705
2020|1|2630|64149.07154794549
2020|1|2631|46911.54341244085
2020|1|2633|61608.38969360095
2020|1|2634|45826.77225494452
2020|1|2635|41863.78797508194
2020|1|3092|43173.806034068104
2020|1|12722|55307.185325160164
2020|2|1|60846.8519773253
2020|2|2|63701.05892165295
2020|2|3|74646.58743936998
2020|2|2590|56567.66063947204
2020|2|2623|54717.017596413076
2020|2|2625|62909.249912043546
2020|2|2626|48351.35316634209
2020|2|2629|67375.76166490455
2020|2|2630|66383.68148785799
2020|2|2631|52021.63421440264
2020|2|2633|70172.19945870724
2020|2|2634|54628.30747846355
2020|2|2635|43614.20601075396
2020|2|3092|46123.091068169735
2020|2|12722|37990.82792868579
2020|3|1|50645.89213706195
2020|3|2|55654.73002369216
2020|3|3|60070.415876388426
2020|3|2590|65364.98966811454
2020|3|2623|51688.20563766568
2020|3|2625|54567.04792270738
2020|3|2626|43000.138601075676
2020|3|2629|58038.60173579474
2020|3|2630|60052.92469135401
2020|3|2631|46978.963296833856
2020|3|2633|61226.60565412737
2020|3|2634|60523.325016980154
2020|3|2635|41456.19387079186
2020|3|3092|45370.64893037476
2020|3|12722|37543.63330001088
2020|4|1|46444.27699882849
2020|4|2|60993.59699007894
2020|4|3|51193.887070669785
2020|4|2590|62121.7137979438
2020|4|2623|58910.37767875805
2020|4|2625|48742.81501437993
2020|4|2626|45487.68375665329
2020|4|2629|60763.220136489974
2020|4|2630|65488.95014468799
2020|4|2631|47847.89915650742
2020|4|2633|67968.5616704437
2020|4|2634|59522.234861511606
2020|4|2635|41353.99368202875
2020|4|3092|47040.21109083974
2020|4|12722|35375.71962215362
2020|5|1|58945.17039681079
2020|5|2|74518.08190457178
2020|5|3|59791.44539431266
2020|5|2590|64210.45462947649
2020|5|2623|62467.53834959823
2020|5|2625|52863.694878584814
2020|5|2626|46571.059308536926
2020|5|2629|73025.8615183836
2020|5|2630|71900.22820366015
2020|5|2631|50944.158926087286
2020|5|2633|68245.76239312714
2020|5|2634|95077.87141774311
2020|5|2635|53030.65722789284
2020|5|3092|53866.445966548745
2020|5|12722|62366.35780470421
2020|6|1|48702.54825354248
2020|6|2|53499.55230304835
2020|6|3|56666.11910943785
2020|6|2590|57373.182218631926
2020|6|2623|58785.887222398866
2020|6|2625|52502.83532468543
2020|6|2626|45819.65307702505
2020|6|2629|62102.91115082024
2020|6|2630|54220.31521415351
2020|6|2631|48263.77200613789
2020|6|2633|65321.868426079745
2020|6|2635|42722.47418850518
2020|6|3092|45940.19952701354
2020|7|1|47832.51686847213
2020|7|2|51646.219824817446
2020|7|3|49497.17159019485
2020|7|2590|55675.14065930898
2020|7|2623|46465.72868915526
2020|7|2625|54795.43633999912
2020|7|2626|48015.630748726755
2020|7|2629|59315.20304445557
2020|7|2630|57555.91643141475
2020|7|2631|49785.61520409396
2020|7|2633|64836.93941982177
2020|7|2635|41888.355391329824
2020|7|3092|42441.426584635214
2020|8|1|56134.707088264135
2020|8|2|61945.00396747707
2020|8|3|54863.35164685558
2020|8|2590|60066.675954214545
2020|8|2623|48188.19749214964
2020|8|2625|58437.98698322486
2020|8|2626|49142.37793476324
2020|8|2629|64675.33285295238
2020|8|2630|59593.6595289158
2020|8|2631|51933.11291030217
2020|8|2633|67230.8681118614
2020|8|2635|50744.746570439595
2020|8|3092|47669.0978665943
2020|8|11265|1222222.222222222
2020|8|12722|40297.11124081522
2020|9|1|47248.84086267579
2020|9|2|56438.60688755035
2020|9|3|45348.274750080614
2020|9|2590|56670.359613779576
2020|9|2623|43925.042798623625
2020|9|2625|56961.01800135701
2020|9|2626|49209.793367871316
2020|9|2629|59239.90123424607
2020|9|2630|59453.595765093465
2020|9|2631|50571.21654924739
2020|9|2633|67831.47887094654
2020|9|2635|42555.05045702994
2020|9|3092|44855.66003268246
2020|9|11265|52354.0136093994
2020|9|12722|35205.905650966975
2020|10|1|54913.83436839446
2020|10|2|55953.85698957775
2020|10|3|54013.8275398502
2020|10|2590|54949.378732826626
2020|10|2623|45481.966241940376
2020|10|2625|53389.398017089836
2020|10|2626|48182.81590679403
2020|10|2629|65512.215073214764
2020|10|2630|58758.73975802522
2020|10|2631|49230.286258061235
2020|10|2633|67744.41507514963
2020|10|2635|41779.3143953958
2020|10|3092|45754.46777646285
2020|10|11265|59887.21241661537
2020|10|12722|35327.26788442937
2020|11|1|50276.24313207253
2020|11|2|53822.625198544054
2020|11|3|49735.84738831539
2020|11|2590|72969.42310914604
2020|11|2623|64610.8399314419
2020|11|2625|82537.21929590717
2020|11|2626|69272.59419330103
2020|11|2629|68567.6914544403
2020|11|2630|89830.65258457206
2020|11|2631|70737.55002033277
2020|11|2633|101330.7200515931
2020|11|2635|68003.24247344547
2020|11|3092|70264.4832333373
2020|11|11265|56762.556207114525
2020|11|12722|49667.01420437187
2020|12|1|86407.3750870362
2020|12|2|79796.80726035299
2020|12|3|72069.18641896221
2020|12|2590|139260.02151995478
2020|12|2623|135052.91618807006
2020|12|2625|124784.97360553131
2020|12|2626|123551.4825778841
2020|12|2629|111505.47149706515
2020|12|2630|141238.01220575412
2020|12|2631|133406.91121915064
2020|12|2633|176546.74565498842
2020|12|2635|113420.68380833814
2020|12|3092|128712.05291495507
2020|12|11265|72711.51522718677
2020|12|12722|73467.0316695383
